,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
0,1980,Alabama,Christopher,Michael,James,Jason,Joshua
1,1980,Alaska,Michael,Christopher,James,John,Joshua
2,1980,Arizona,Michael,Christopher,David,Jason,Joshua
3,1980,Arkansas,Michael,Jason,Christopher,James,Joshua
4,1980,California,Michael,David,Christopher,Daniel,Jason
5,1980,Colorado,Michael,Christopher,Matthew,Joshua,Jason
6,1980,Connecticut,Michael,Christopher,Jason,David,Matthew
7,1980,Delaware,Michael,Jason,John,James,Robert
8,1980,Dist. of Columbia,Michael,David,James,Christopher,Robert
9,1980,Florida,Michael,Christopher,James,Jason,David
10,1980,Georgia,James,Michael,Christopher,Jason,John
11,1980,Hawaii,Michael,Jason,Christopher,David,James
12,1980,Idaho,Michael,Joshua,Jason,Christopher,David
13,1980,Illinois,Michael,Jason,Christopher,David,Matthew
14,1980,Indiana,Michael,Joshua,Jason,Christopher,Matthew
15,1980,Iowa,Joshua,Michael,Matthew,Jason,Ryan
16,1980,Kansas,Michael,Jason,Joshua,Christopher,Matthew
17,1980,Kentucky,Jason,Michael,James,Joshua,Christopher
18,1980,Louisiana,Michael,Christopher,Jason,John,James
19,1980,Maine,Christopher,Jason,Michael,Joshua,Matthew
20,1980,Maryland,Michael,Christopher,Jason,David,James
21,1980,Massachusetts,Michael,Matthew,Christopher,Jason,David
22,1980,Michigan,Michael,Jason,Christopher,Matthew,David
23,1980,Minnesota,Michael,Matthew,Joshua,Ryan,Jason
24,1980,Mississippi,James,Christopher,Michael,Jason,John
25,1980,Missouri,Michael,Jason,Christopher,Matthew,Joshua
26,1980,Montana,Joshua,Michael,Ryan,Jason,Matthew
27,1980,Nebraska,Matthew,Michael,Jason,Joshua,Christopher
28,1980,Nevada,Michael,Christopher,Jason,David,James
29,1980,New Hampshire,Michael,Matthew,Christopher,Jason,Joshua
30,1980,New Jersey,Michael,Christopher,Robert,David,John
31,1980,New Mexico,Michael,Christopher,Jason,David,Daniel
32,1980,New York,Michael,Christopher,Jason,David,Joseph
33,1980,North Carolina,Christopher,Michael,James,Jason,David
34,1980,North Dakota,Joshua,Michael,Justin,Matthew,Ryan
35,1980,Ohio,Michael,Jason,Matthew,Christopher,David
36,1980,Oklahoma,Michael,Christopher,Joshua,Jason,James
37,1980,Oregon,Michael,Christopher,Joshua,Ryan,Matthew
38,1980,Pennsylvania,Michael,Jason,Matthew,David,Christopher
39,1980,Rhode Island,Michael,Jason,David,Matthew,Christopher
40,1980,South Carolina,James,Michael,Christopher,Jason,William
41,1980,South Dakota,Michael,Justin,Matthew,Joshua,Ryan
42,1980,Tennessee,Michael,James,Jason,Christopher,Joshua
43,1980,Texas,Michael,Christopher,Jason,David,James
44,1980,Utah,Michael,Joshua,David,Jason,Matthew
45,1980,Vermont,Michael,Matthew,Christopher,Jason,Joshua
46,1980,Virginia,Michael,Christopher,Jason,James,David
47,1980,Washington,Michael,Jason,Christopher,Joshua,Matthew
48,1980,West Virginia,Jason,Joshua,Michael,Christopher,James
49,1980,Wisconsin,Michael,Matthew,Jason,Joshua,Ryan
50,1980,Wyoming,Michael,Joshua,Christopher,Matthew,Justin
51,1981,Alabama,Christopher,James,Michael,Joshua,Jason
52,1981,Alaska,Michael,Christopher,David,Joshua,Matthew
53,1981,Arizona,Michael,Christopher,David,Joshua,Matthew
54,1981,Arkansas,Joshua,Michael,James,Christopher,Jason
55,1981,California,Michael,Christopher,David,Daniel,Matthew
56,1981,Colorado,Michael,Christopher,Matthew,Joshua,Jason
57,1981,Connecticut,Michael,Christopher,Matthew,Jason,David
58,1981,Delaware,Michael,James,Christopher,Matthew,John
59,1981,Dist. of Columbia,Michael,Christopher,James,David,Matthew
60,1981,Florida,Michael,Christopher,James,David,Jason
61,1981,Georgia,Michael,Christopher,James,Joshua,John
62,1981,Hawaii,Michael,Christopher,Jason,David,Jonathan
63,1981,Idaho,Joshua,Michael,David,Matthew,Jason
64,1981,Illinois,Michael,Matthew,Christopher,David,Jason
65,1981,Indiana,Michael,Joshua,Matthew,Christopher,Jason
66,1981,Iowa,Matthew,Michael,Joshua,Ryan,Jason
67,1981,Kansas,Michael,Joshua,Matthew,Christopher,Jason
68,1981,Kentucky,Joshua,Michael,James,Christopher,Jason
69,1981,Louisiana,Michael,Christopher,Joshua,James,Jason
70,1981,Maine,Matthew,Joshua,Michael,Christopher,Jason
71,1981,Maryland,Michael,Christopher,James,David,Jason
72,1981,Massachusetts,Michael,Matthew,Christopher,David,Jason
73,1981,Michigan,Michael,Matthew,Jason,Christopher,David
74,1981,Minnesota,Michael,Matthew,Joshua,Ryan,Andrew
75,1981,Mississippi,James,Christopher,Michael,John,Joshua
76,1981,Missouri,Michael,Christopher,Matthew,Joshua,Jason
77,1981,Montana,Michael,Joshua,Matthew,Christopher,Ryan
78,1981,Nebraska,Matthew,Michael,Joshua,Ryan,Justin
79,1981,Nevada,Michael,Christopher,Joshua,Matthew,Robert
80,1981,New Hampshire,Michael,Matthew,Christopher,Joshua,Jason
81,1981,New Jersey,Michael,Christopher,David,Joseph,John
82,1981,New Mexico,Michael,Christopher,David,Matthew,Jason
83,1981,New York,Michael,Christopher,Jason,David,Joseph
84,1981,North Carolina,Michael,Christopher,James,Jason,Joshua
85,1981,North Dakota,Michael,Joshua,Ryan,Matthew,Justin
86,1981,Ohio,Michael,Matthew,Jason,Christopher,Joshua
87,1981,Oklahoma,Michael,Christopher,Joshua,James,Matthew
88,1981,Oregon,Michael,Christopher,Joshua,Matthew,Ryan
89,1981,Pennsylvania,Michael,Matthew,Jason,Christopher,David
90,1981,Rhode Island,Michael,Christopher,Matthew,David,Jason
91,1981,South Carolina,James,Michael,Christopher,William,Jason
92,1981,South Dakota,Joshua,Matthew,Michael,Christopher,Justin
93,1981,Tennessee,Michael,James,Joshua,Christopher,Jason
94,1981,Texas,Michael,Christopher,David,James,John
95,1981,Utah,Michael,Joshua,David,Christopher,Matthew
96,1981,Vermont,Michael,Christopher,Joshua,Matthew,Jason
97,1981,Virginia,Michael,Christopher,Jason,James,David
98,1981,Washington,Michael,Christopher,Joshua,Ryan,Matthew
99,1981,West Virginia,Joshua,Michael,Jason,James,Christopher
100,1981,Wisconsin,Michael,Matthew,Joshua,Jason,Ryan
101,1981,Wyoming,Joshua,Michael,Matthew,Christopher,Robert
102,1982,Alabama,Christopher,James,Michael,Joshua,Jason
103,1982,Alaska,Michael,Christopher,Daniel,David,Joshua
104,1982,Arizona,Michael,Christopher,David,Matthew,Daniel
105,1982,Arkansas,Christopher,Joshua,Michael,James,Jason
106,1982,California,Michael,Christopher,David,Daniel,Matthew
107,1982,Colorado,Michael,Christopher,Matthew,Joshua,David
108,1982,Connecticut,Michael,Christopher,Matthew,David,Jason
109,1982,Delaware,Michael,Christopher,Robert,James,John
110,1982,Dist. of Columbia,Michael,Christopher,David,James,John
111,1982,Florida,Michael,Christopher,James,Jason,David
112,1982,Georgia,Christopher,Michael,James,Joshua,William
113,1982,Hawaii,Christopher,Michael,David,Jason,Justin
114,1982,Idaho,Joshua,Michael,Christopher,Matthew,David
115,1982,Illinois,Michael,Christopher,Matthew,David,Jason
116,1982,Indiana,Michael,Joshua,Christopher,Matthew,Jason
117,1982,Iowa,Matthew,Michael,Joshua,Christopher,Ryan
118,1982,Kansas,Christopher,Michael,Matthew,Joshua,Justin
119,1982,Kentucky,Christopher,Joshua,Michael,James,Jason
120,1982,Louisiana,Christopher,Michael,Joshua,James,John
121,1982,Maine,Matthew,Christopher,Michael,Ryan,Joshua
122,1982,Maryland,Michael,Christopher,James,Jason,David
123,1982,Massachusetts,Michael,Matthew,Christopher,David,Daniel
124,1982,Michigan,Michael,Christopher,Matthew,Jason,David
125,1982,Minnesota,Matthew,Michael,Christopher,Joshua,Andrew
126,1982,Mississippi,Christopher,James,Michael,John,Joshua
127,1982,Missouri,Michael,Christopher,Matthew,Joshua,Jason
128,1982,Montana,Christopher,Michael,Matthew,Joshua,Justin
129,1982,Nebraska,Michael,Matthew,Christopher,Joshua,Ryan
130,1982,Nevada,Michael,Christopher,David,Jason,Joshua
131,1982,New Hampshire,Michael,Christopher,Matthew,Joshua,Jason
132,1982,New Jersey,Michael,Christopher,Matthew,Robert,David
133,1982,New Mexico,Michael,Christopher,Matthew,David,Jason
134,1982,New York,Michael,Christopher,Jason,David,Matthew
135,1982,North Carolina,Christopher,Michael,James,Jason,Matthew
136,1982,North Dakota,Joshua,Michael,Christopher,Matthew,Ryan
137,1982,Ohio,Michael,Matthew,Christopher,Joshua,Jason
138,1982,Oklahoma,Christopher,Michael,Joshua,James,Matthew
139,1982,Oregon,Christopher,Michael,Matthew,Joshua,Ryan
140,1982,Pennsylvania,Michael,Matthew,Christopher,Jason,David
141,1982,Rhode Island,Michael,Christopher,Matthew,Jason,David
142,1982,South Carolina,Christopher,Michael,James,William,John
143,1982,South Dakota,Matthew,Joshua,Christopher,Michael,Jason
144,1982,Tennessee,Christopher,James,Joshua,Michael,Jason
145,1982,Texas,Christopher,Michael,David,James,John
146,1982,Utah,Michael,Christopher,Joshua,Matthew,David
147,1982,Vermont,Christopher,Michael,Matthew,Jason,Joshua
148,1982,Virginia,Christopher,Michael,James,Matthew,Jason
149,1982,Washington,Michael,Christopher,Matthew,Ryan,Joshua
150,1982,West Virginia,Joshua,Michael,Christopher,Jason,James
151,1982,Wisconsin,Michael,Matthew,Joshua,Christopher,Jason
152,1982,Wyoming,Michael,Christopher,Joshua,Matthew,James
153,1983,Alabama,Christopher,Michael,James,Joshua,Matthew
154,1983,Alaska,Christopher,Michael,Matthew,Joshua,David
155,1983,Arizona,Michael,Christopher,Matthew,Daniel,David
156,1983,Arkansas,Christopher,Joshua,Michael,Matthew,James
157,1983,California,Michael,Christopher,David,Daniel,Matthew
158,1983,Colorado,Michael,Christopher,Matthew,Joshua,Daniel
159,1983,Connecticut,Michael,Christopher,Matthew,David,Daniel
160,1983,Delaware,Michael,Christopher,Matthew,Robert,David
161,1983,Dist. of Columbia,Michael,Christopher,David,Matthew,James
162,1983,Florida,Michael,Christopher,James,Matthew,David
163,1983,Georgia,Christopher,Michael,James,William,Matthew
164,1983,Hawaii,Christopher,Michael,Justin,Jason,Matthew
165,1983,Idaho,Michael,Matthew,Christopher,Joshua,Ryan
166,1983,Illinois,Michael,Matthew,Christopher,David,Daniel
167,1983,Indiana,Michael,Matthew,Joshua,Christopher,Ryan
168,1983,Iowa,Matthew,Michael,Joshua,Christopher,Ryan
169,1983,Kansas,Christopher,Matthew,Michael,Joshua,Ryan
170,1983,Kentucky,Christopher,Joshua,Michael,James,Matthew
171,1983,Louisiana,Christopher,Michael,Brandon,Joshua,James
172,1983,Maine,Matthew,Christopher,Michael,Joshua,Ryan
173,1983,Maryland,Michael,Christopher,Matthew,James,David
174,1983,Massachusetts,Michael,Matthew,Christopher,Daniel,David
175,1983,Michigan,Michael,Matthew,Christopher,David,Jason
176,1983,Minnesota,Matthew,Michael,Andrew,Christopher,Daniel
177,1983,Mississippi,Christopher,James,Michael,William,John
178,1983,Missouri,Michael,Christopher,Matthew,Joshua,James
179,1983,Montana,Michael,Matthew,Christopher,Joshua,Ryan
180,1983,Nebraska,Matthew,Michael,Christopher,Joshua,Adam
181,1983,Nevada,Michael,Christopher,Matthew,Robert,Joshua
182,1983,New Hampshire,Christopher,Michael,Matthew,Joshua,Ryan
183,1983,New Jersey,Michael,Christopher,Matthew,Joseph,Robert
184,1983,New Mexico,Christopher,Michael,Matthew,Daniel,David
185,1983,New York,Michael,Christopher,Matthew,Daniel,David
186,1983,North Carolina,Christopher,Michael,James,Matthew,Joshua
187,1983,North Dakota,Michael,Matthew,Christopher,Joshua,Ryan
188,1983,Ohio,Michael,Matthew,Christopher,Joshua,David
189,1983,Oklahoma,Christopher,Michael,Matthew,Joshua,James
190,1983,Oregon,Michael,Christopher,Matthew,Joshua,David
191,1983,Pennsylvania,Michael,Matthew,Christopher,David,Jason
192,1983,Rhode Island,Michael,Matthew,Christopher,David,Jason
193,1983,South Carolina,Christopher,James,Michael,William,John
194,1983,South Dakota,Matthew,Christopher,Michael,Joshua,Ryan
195,1983,Tennessee,Christopher,Michael,James,Joshua,Matthew
196,1983,Texas,Christopher,Michael,David,James,Matthew
197,1983,Utah,Michael,Christopher,Matthew,David,Joshua
198,1983,Vermont,Christopher,Matthew,Michael,Joshua,Justin
199,1983,Virginia,Christopher,Michael,Matthew,James,David
200,1983,Washington,Michael,Christopher,Matthew,Ryan,Joshua
201,1983,West Virginia,Christopher,Joshua,Michael,Matthew,Jason
