,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
0,1980,Alabama,Jennifer,Amanda,Kimberly,April,Jessica
1,1980,Alaska,Jessica,Jennifer,Sarah,Amanda,Melissa
2,1980,Arizona,Jennifer,Jessica,Melissa,Amanda,Sarah
3,1980,Arkansas,Amanda,Jennifer,Melissa,Sarah,Kimberly
4,1980,California,Jennifer,Melissa,Jessica,Sarah,Michelle
5,1980,Colorado,Jennifer,Jessica,Sarah,Amanda,Melissa
6,1980,Connecticut,Jennifer,Jessica,Melissa,Sarah,Elizabeth
7,1980,Delaware,Jennifer,Jessica,Melissa,Amanda,Heather
8,1980,Dist. of Columbia,Jennifer,Nicole,Jessica,Tiffany,Elizabeth
9,1980,Florida,Jennifer,Amanda,Jessica,Melissa,Kimberly
10,1980,Georgia,Amanda,Jennifer,Jessica,Kimberly,Melissa
11,1980,Hawaii,Jennifer,Michelle,Melissa,Nicole,Jessica
12,1980,Idaho,Jennifer,Amanda,Sarah,Melissa,Jessica
13,1980,Illinois,Jennifer,Amanda,Melissa,Jessica,Sarah
14,1980,Indiana,Jennifer,Amanda,Jessica,Melissa,Sarah
15,1980,Iowa,Jennifer,Amanda,Jessica,Sarah,Melissa
16,1980,Kansas,Jennifer,Amanda,Sarah,Melissa,Jessica
17,1980,Kentucky,Amanda,Jennifer,Jessica,Melissa,Amy
18,1980,Louisiana,Jennifer,Amanda,Jessica,Melissa,Tiffany
19,1980,Maine,Jessica,Jennifer,Amanda,Melissa,Sarah
20,1980,Maryland,Jennifer,Jessica,Melissa,Amanda,Christina
21,1980,Massachusetts,Jennifer,Melissa,Jessica,Sarah,Nicole
22,1980,Michigan,Jennifer,Sarah,Amanda,Melissa,Jessica
23,1980,Minnesota,Jennifer,Jessica,Sarah,Melissa,Amanda
24,1980,Mississippi,Jennifer,Amanda,Kimberly,Jessica,Tiffany
25,1980,Missouri,Jennifer,Amanda,Sarah,Jessica,Melissa
26,1980,Montana,Jennifer,Amanda,Jessica,Sarah,Melissa
27,1980,Nebraska,Jennifer,Amanda,Sarah,Jessica,Melissa
28,1980,Nevada,Jennifer,Melissa,Jessica,Sarah,Amber
29,1980,New Hampshire,Jennifer,Jessica,Sarah,Melissa,Amanda
30,1980,New Jersey,Jennifer,Melissa,Jessica,Nicole,Michelle
31,1980,New Mexico,Jennifer,Amanda,Jessica,Melissa,Michelle
32,1980,New York,Jennifer,Jessica,Melissa,Nicole,Michelle
33,1980,North Carolina,Jennifer,Amanda,Crystal,Melissa,Jessica
34,1980,North Dakota,Jennifer,Jessica,Amanda,Heather,Sarah
35,1980,Ohio,Jennifer,Amanda,Melissa,Jessica,Sarah
36,1980,Oklahoma,Jennifer,Amanda,Melissa,Amber,Sarah
37,1980,Oregon,Jennifer,Sarah,Melissa,Amanda,Jessica
38,1980,Pennsylvania,Jennifer,Jessica,Melissa,Nicole,Amanda
39,1980,Rhode Island,Jennifer,Jessica,Melissa,Sarah,Amanda
40,1980,South Carolina,Jennifer,Amanda,Jessica,Crystal,Melissa
41,1980,South Dakota,Jennifer,Jessica,Amanda,Melissa,Sarah
42,1980,Tennessee,Amanda,Jennifer,Jessica,April,Tiffany
43,1980,Texas,Jennifer,Amanda,Jessica,Melissa,Maria
44,1980,Utah,Jennifer,Melissa,Amanda,Amber,Heather
45,1980,Vermont,Jessica,Jennifer,Sarah,Amanda,Heather
46,1980,Virginia,Jennifer,Amanda,Jessica,Melissa,Sarah
47,1980,Washington,Jennifer,Sarah,Jessica,Melissa,Amanda
48,1980,West Virginia,Amanda,Jennifer,Jessica,Melissa,Heather
49,1980,Wisconsin,Jennifer,Jessica,Amanda,Melissa,Sarah
50,1980,Wyoming,Jennifer,Amanda,Sarah,Jessica,Melissa
51,1981,Alabama,Jennifer,Amanda,Jessica,Kimberly,Tiffany
52,1981,Alaska,Jennifer,Jessica,Sarah,Amanda,Amber
53,1981,Arizona,Jennifer,Jessica,Melissa,Amanda,Stephanie
54,1981,Arkansas,Amanda,Jennifer,Jessica,Crystal,Sarah
55,1981,California,Jennifer,Jessica,Melissa,Sarah,Michelle
56,1981,Colorado,Jennifer,Jessica,Sarah,Amanda,Melissa
