,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
0,1980,Alabama,Jennifer,Amanda,Kimberly,April,Jessica,girl
1,1980,Alaska,Jessica,Jennifer,Sarah,Amanda,Melissa,girl
2,1980,Arizona,Jennifer,Jessica,Melissa,Amanda,Sarah,girl
3,1980,Arkansas,Amanda,Jennifer,Melissa,Sarah,Kimberly,girl
4,1980,California,Jennifer,Melissa,Jessica,Sarah,Michelle,girl
5,1980,Colorado,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
6,1980,Connecticut,Jennifer,Jessica,Melissa,Sarah,Elizabeth,girl
7,1980,Delaware,Jennifer,Jessica,Melissa,Amanda,Heather,girl
8,1980,Dist. of Columbia,Jennifer,Nicole,Jessica,Tiffany,Elizabeth,girl
9,1980,Florida,Jennifer,Amanda,Jessica,Melissa,Kimberly,girl
10,1980,Georgia,Amanda,Jennifer,Jessica,Kimberly,Melissa,girl
11,1980,Hawaii,Jennifer,Michelle,Melissa,Nicole,Jessica,girl
12,1980,Idaho,Jennifer,Amanda,Sarah,Melissa,Jessica,girl
13,1980,Illinois,Jennifer,Amanda,Melissa,Jessica,Sarah,girl
14,1980,Indiana,Jennifer,Amanda,Jessica,Melissa,Sarah,girl
15,1980,Iowa,Jennifer,Amanda,Jessica,Sarah,Melissa,girl
16,1980,Kansas,Jennifer,Amanda,Sarah,Melissa,Jessica,girl
17,1980,Kentucky,Amanda,Jennifer,Jessica,Melissa,Amy,girl
18,1980,Louisiana,Jennifer,Amanda,Jessica,Melissa,Tiffany,girl
19,1980,Maine,Jessica,Jennifer,Amanda,Melissa,Sarah,girl
20,1980,Maryland,Jennifer,Jessica,Melissa,Amanda,Christina,girl
21,1980,Massachusetts,Jennifer,Melissa,Jessica,Sarah,Nicole,girl
22,1980,Michigan,Jennifer,Sarah,Amanda,Melissa,Jessica,girl
23,1980,Minnesota,Jennifer,Jessica,Sarah,Melissa,Amanda,girl
24,1980,Mississippi,Jennifer,Amanda,Kimberly,Jessica,Tiffany,girl
25,1980,Missouri,Jennifer,Amanda,Sarah,Jessica,Melissa,girl
26,1980,Montana,Jennifer,Amanda,Jessica,Sarah,Melissa,girl
27,1980,Nebraska,Jennifer,Amanda,Sarah,Jessica,Melissa,girl
28,1980,Nevada,Jennifer,Melissa,Jessica,Sarah,Amber,girl
29,1980,New Hampshire,Jennifer,Jessica,Sarah,Melissa,Amanda,girl
30,1980,New Jersey,Jennifer,Melissa,Jessica,Nicole,Michelle,girl
31,1980,New Mexico,Jennifer,Amanda,Jessica,Melissa,Michelle,girl
32,1980,New York,Jennifer,Jessica,Melissa,Nicole,Michelle,girl
33,1980,North Carolina,Jennifer,Amanda,Crystal,Melissa,Jessica,girl
34,1980,North Dakota,Jennifer,Jessica,Amanda,Heather,Sarah,girl
35,1980,Ohio,Jennifer,Amanda,Melissa,Jessica,Sarah,girl
36,1980,Oklahoma,Jennifer,Amanda,Melissa,Amber,Sarah,girl
37,1980,Oregon,Jennifer,Sarah,Melissa,Amanda,Jessica,girl
38,1980,Pennsylvania,Jennifer,Jessica,Melissa,Nicole,Amanda,girl
39,1980,Rhode Island,Jennifer,Jessica,Melissa,Sarah,Amanda,girl
40,1980,South Carolina,Jennifer,Amanda,Jessica,Crystal,Melissa,girl
41,1980,South Dakota,Jennifer,Jessica,Amanda,Melissa,Sarah,girl
42,1980,Tennessee,Amanda,Jennifer,Jessica,April,Tiffany,girl
43,1980,Texas,Jennifer,Amanda,Jessica,Melissa,Maria,girl
44,1980,Utah,Jennifer,Melissa,Amanda,Amber,Heather,girl
45,1980,Vermont,Jessica,Jennifer,Sarah,Amanda,Heather,girl
46,1980,Virginia,Jennifer,Amanda,Jessica,Melissa,Sarah,girl
47,1980,Washington,Jennifer,Sarah,Jessica,Melissa,Amanda,girl
48,1980,West Virginia,Amanda,Jennifer,Jessica,Melissa,Heather,girl
49,1980,Wisconsin,Jennifer,Jessica,Amanda,Melissa,Sarah,girl
50,1980,Wyoming,Jennifer,Amanda,Sarah,Jessica,Melissa,girl
51,1981,Alabama,Jennifer,Amanda,Jessica,Kimberly,Tiffany,girl
52,1981,Alaska,Jennifer,Jessica,Sarah,Amanda,Amber,girl
53,1981,Arizona,Jennifer,Jessica,Melissa,Amanda,Stephanie,girl
54,1981,Arkansas,Amanda,Jennifer,Jessica,Crystal,Sarah,girl
55,1981,California,Jennifer,Jessica,Melissa,Sarah,Michelle,girl
56,1981,Colorado,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
57,1981,Connecticut,Jennifer,Jessica,Sarah,Melissa,Elizabeth,girl
58,1981,Delaware,Jennifer,Jessica,Melissa,Amy,Kimberly,girl
59,1981,Dist. of Columbia,Jennifer,Jessica,Sarah,Tiffany,Kimberly,girl
60,1981,Florida,Jennifer,Jessica,Amanda,Melissa,Tiffany,girl
61,1981,Georgia,Jennifer,Amanda,Jessica,Tiffany,Kimberly,girl
62,1981,Hawaii,Jennifer,Jessica,Nicole,Melissa,Kimberly,girl
63,1981,Idaho,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
64,1981,Illinois,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
65,1981,Indiana,Jennifer,Amanda,Jessica,Sarah,Melissa,girl
66,1981,Iowa,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
67,1981,Kansas,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
68,1981,Kentucky,Amanda,Jessica,Jennifer,Amy,Sarah,girl
69,1981,Louisiana,Jennifer,Jessica,Amanda,Crystal,Ashley,girl
70,1981,Maine,Jessica,Jennifer,Amanda,Sarah,Melissa,girl
71,1981,Maryland,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
72,1981,Massachusetts,Jennifer,Jessica,Melissa,Sarah,Nicole,girl
73,1981,Michigan,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
74,1981,Minnesota,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
75,1981,Mississippi,Jennifer,Amanda,Jessica,Kimberly,Tiffany,girl
76,1981,Missouri,Jennifer,Amanda,Jessica,Sarah,Melissa,girl
77,1981,Montana,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
78,1981,Nebraska,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
79,1981,Nevada,Jennifer,Jessica,Melissa,Amanda,Sarah,girl
80,1981,New Hampshire,Jennifer,Jessica,Sarah,Melissa,Amanda,girl
81,1981,New Jersey,Jennifer,Jessica,Melissa,Nicole,Lauren,girl
82,1981,New Mexico,Jennifer,Jessica,Amanda,Melissa,Crystal,girl
83,1981,New York,Jennifer,Jessica,Melissa,Nicole,Sarah,girl
84,1981,North Carolina,Jennifer,Amanda,Jessica,Crystal,Melissa,girl
